grp mapk g5sd cg9005 GB10722like cg11971 endopep kul mcp CAH1 oxred jdp tif2B RfaBp fax sh3B sparc tctp tun ef2B GlyP CG33293 Vg1 per malvolio InRA InRB IRS usp PI3K pkg ip3s ilp2
F 4.09125089844194 0.864416342367745 3.01184501334540 1.64931302680481 3.15347570599521 2.11857931870170 2.54423470593613 2.09830622924804 . 2.5502383718835 . 1.33756540757705 3.71692828196628 2.38622664014623 2.83111779698918 2.91233115355504 2.10340217912468 2.97726453989072 5.00269975751461 . . 4.10545006718882 3.54741029777797 . . . . . 0.393734438725767 1.40024460244662 1.61197349512563 0.845224927631627
F 3.9543619288298 0.698726934738143 2.73426633547050 1.62734606006186 2.55931474356739 2.10145936068500 2.61861465181616 1.87266196102742 1.25146458310059 2.72146857075687 3.09443668642633 1.65174319034544 3.67398609660893 2.19893711011453 2.40608397188095 2.72707860719786 1.76657539589063 3.14022656589393 4.53578291530743 1.39509194861173 2.80994471711686 4.49809765010405 3.40839210413001 1.08875331497508 1.25930086408940 1.68113921946259 1.75289517521659 1.8941093574918 1.08422799565058 1.16206565874218 1.32117407078743 1.40548636084453
F 3.63871799264599 0.139492166858581 2.65726779373352 2.61559728210436 2.70746969931031 2.32185954161274 2.55012447139875 1.96739336617011 1.09744851174237 2.66367091469279 3.08768778729842 1.12877640928564 3.81295752329414 2.43736263385324 2.44040628376331 2.54911355344657 1.69354605578310 3.05203481568466 4.36102935156053 1.65395484505523 2.41242107877823 3.19800562952398 3.82551202685471 1.23974575384385 1.13685107758385 1.36497608280478 1.79444751984734 2.15678590054404 1.36978050488273 1.46184313232399 1.45746040289417 1.75370672706436
F 4.08330687040622 0.586846778903177 3.12423955393627 2.98071375812322 3.15402143518275 2.39687338721474 2.42954447468607 3.06606812950014 1.46888017850082 3.08898629545921 3.87558654703778 1.20331758971972 4.84629415636541 2.32162752945759 2.74683421635274 2.52728135822385 2.08805149442948 3.48687648267725 4.88939160227089 2.33907776149191 2.96194226738102 4.06100038966457 3.5991251368827 1.87623449350396 1.69000189960249 2.1471456914549 2.44391736697028 2.72335875824758 2.22273344206801 1.47338530994360 1.98426368687017 2.77792819186661
F 3.80077877014494 0.116664187757218 2.53733645227216 2.92446347482262 2.69183802441702 2.15665764287797 2.36836674737121 3.16362726609347 1.51515294691797 3.02866595699629 3.4043723361558 1.67943619565857 4.72142773868678 1.89888637390184 2.6744472255379 2.32975911215194 1.80721475200415 3.39526518760737 4.79339644234783 2.00273330908494 3.1606995708517 3.93409593598741 3.51435242094118 1.55696508056038 1.51834718620196 1.71416227578995 1.90195124552899 2.13666296742338 2.01486968665336 1.80911891831504 2.30612691333676 2.62894162365981
F 3.67727222511283 0.314953065477683 2.22045845711634 . 2.29490961170745 2.23006934488628 2.59653239782483 2.95762310640449 0.561246685869536 2.83204207014737 2.59784798329827 1.43950782330473 . 1.95077259390058 2.55696751018036 2.41353183658607 1.76453248950730 2.41802627754532 4.56082239982971 0.609283335798671 2.03294920423333 3.08506887428107 3.04634125885548 0.261326264393302 0.677876626885947 0.95808328884626 1.64123738695955 1.19948707848435 . 1.58716721114743 1.70538121904407 .
F 3.45761413535501 -0.207713829089104 2.15881033001304 2.49910372601712 2.6506183145779 2.02222194508591 2.76067630024411 2.7963991165217 1.05087026001269 2.21618338466416 2.85078748088377 1.49622269588927 4.2320345770283 2.32056620940490 2.85408996189208 2.41361363499849 2.30944640029704 2.62169780693570 4.78133801403893 1.09826126039823 2.38729363716501 0.816220022709583 2.43617612134032 1.40037180726874 1.30369975219768 1.14634964486141 1.83827482576119 1.83206894843477 1.76378874365830 2.01646606501822 2.14410136405386 2.45682382608736
F 2.85474682550092 0.322418950145520 2.55004760661225 3.08862658294653 2.53040887492255 2.50086833165701 2.37971528648977 3.11203554823728 1.23454266808801 2.56943949246978 3.21907636475873 1.64714082045757 4.51033328017196 2.33439756739989 2.86447623320816 2.34946390788915 2.63721892650161 3.43468657277335 4.99195387800781 1.47428440489225 3.05676476512143 2.93153577392040 2.25460965684359 1.52032790576998 1.51639785395343 1.48510642489218 1.927966549838 2.34462337154091 1.63628946113655 1.89159777551545 2.02353058914228 2.07586896763001
F 3.1953636472902 -0.0090490191566148 2.16205544100526 2.78982844800973 2.24589854427882 2.09084836084371 2.42512860181845 2.17379069166108 1.05797368010940 2.21569908996295 2.96193450959563 1.25962389272145 4.13666549677023 1.87452267299404 2.52206899595672 1.95487272208071 1.89344263170315 3.30704170849183 4.43832898775391 1.08542630105231 1.94707812384998 3.16830576362134 2.30519368765059 1.36298845098809 1.24696858486046 1.42053483285568 1.85579406654234 2.07138517614152 2.12885912802642 1.21954954453751 1.48112715426606 2.51631648861285
F 3.51513177634733 0.0819183629165556 2.63174652785246 2.66622645499634 2.36517127205148 2.19947670605610 2.53291587418269 2.46273201650862 1.08349452225394 2.17245146428355 2.83580175593187 1.39039424509793 3.96455568146487 2.30268628787367 2.68793708160832 2.34454857976406 2.3255423470619 3.35632497305642 4.57183478436405 1.38437294137467 1.99526015648326 2.76093135084661 2.82509317038442 1.6383534981475 1.50605854411837 1.54107834037073 1.97521589570263 2.11369984221308 1.53334144144947 1.20631772285425 1.68535414869239 1.6740076830834
F 3.41014737736341 0.89208393725512 2.81097747883624 3.42179348492268 3.18107837679249 2.88413607861848 2.65629251820125 2.3070969990204 1.75820606383897 3.18266277615424 3.79930833637457 1.47921427742823 4.77362377550272 2.58570560231811 2.98702865672983 2.97493347023920 2.48880279992818 2.80871752092506 5.49925174996874 2.30903832602345 3.35461734835322 3.70462380873032 2.82447100563924 2.01122582794898 1.76767821263818 2.27997960334651 2.35383432641093 2.54399244115312 2.10654216731239 1.76992345600322 2.21243497713134 2.94286800899662
G 3.70331648682837 -1.00530671674827 1.63425974594338 2.72161787586028 1.45550320928220 1.97695655439133 2.09855361196895 2.05643100579241 1.05394007907334 2.29773173448007 2.46248541192189 0.826956790728378 3.79600092338245 . 2.47504080869880 2.1207673692549 2.84070077258433 2.67584569139452 5.1057583654878 0.740618666130997 2.0121259680991 1.99500054026094 3.35205801152742 0.62832435234428 1.31836468317091 1.89876590461655 1.95679889377443 1.78752022966926 1.83796518547607 1.65468753054658 1.79854815718644 2.64769066914635
G 3.45798235911675 -0.655544506495409 2.1983746934768 2.01230343120261 2.57819501437341 2.5483864857161 2.00713371751781 2.37778625311429 0.816377486198559 2.15437390607174 3.45177436122415 0.964967441988872 4.49212342893558 2.67351738125318 2.8671400346316 3.80217900953238 2.70437525675847 3.42799045340953 4.9132162722468 2.29859996290076 3.28634851212707 2.60755914369863 2.98975821434434 1.86739826312367 1.78128013564428 2.06904388541657 2.3122361711548 2.80701671865245 2.08292172879737 2.16087313056503 2.30103479189807 2.35938150242942
G 3.50776786501375 -0.684387776400321 1.46106334868335 . 1.59004599878352 2.24346482656741 2.54700868948888 2.15697163383868 1.51696723143464 1.75595196444611 3.12610997351334 1.16074645290481 . 1.86232308422904 2.50767986052901 2.1026126314876 2.56304173140708 3.2434472593851 5.00083597050758 1.31810197273227 2.85250142146259 1.86624688248014 3.13862799615878 1.80991908084623 1.72672535863965 2.06154853739246 2.10555302524532 2.36947943076525 . 1.08897274384929 1.99832456760539 .
G 3.66589405215984 0.619953713196142 3.20346029377723 2.87863964950865 2.46419250218338 3.27000785425325 2.42374242928938 2.38187323913454 1.7065047302642 2.60447357484861 3.26472914740354 0.377379781767623 4.94216557145737 2.67968008143086 2.67563457936837 3.04806823917092 2.97009015657697 3.26235296656341 5.2247541383021 2.54247208726407 3.47386976432640 3.37823532662623 3.07659264684786 2.23840640044374 2.11524066266488 2.63440839719826 2.48230827693921 2.89778543080693 1.90021214921434 2.10384362426557 2.64287218664348 3.16552133398971
G 3.42120240677517 -0.60968038484939 1.78372864161591 2.65095491468145 1.72124874996419 1.91064879642194 2.00854542713859 2.40211445044631 1.51457074848376 2.01449164260463 2.95430280289079 1.58214728793150 3.8292976376375 2.14345898958233 2.46872281176836 1.99630569058333 2.42309711269499 3.10204200856055 4.55622707512291 1.24712148521101 2.97914333482454 2.99477051120882 3.14214081738454 1.84780830475064 1.86346583363867 2.13148035185142 1.87098160955905 2.06416361372515 1.77085442349191 0.701484776010626 1.58286378740881 1.93294829167621
G 2.88352056419702 -0.405586115429255 1.96934217650122 2.33609182007009 2.06445518003379 2.78540931114654 2.1738500651142 2.22223713873751 0.72688220170352 1.77885033710302 2.43934505567282 1.48667498266244 3.98029361614757 2.22427862717991 2.53778447980232 3.03062362854604 2.36965001384462 2.93671549284301 4.92391674695505 0.644194408170513 2.56625058741759 1.57205707367341 2.32712247402443 0.68077288377363 1.66855042688633 1.65607910254525 1.99594980439427 1.36761103467273 1.07264387592404 1.06288538239074 1.91484638478344 1.87086369050712
G 3.09144809834599 -0.00349580320608742 3.32402291775301 2.00932465032632 1.60655987485427 2.86341659878781 2.33205554181798 2.62555935473664 1.25373135659907 2.05395346279002 2.27873758819946 1.46358428335389 3.88724591276943 2.28992357318731 2.56269605144250 2.56620587540443 2.66340019463993 3.31478749646733 4.53811126464201 1.03533004475043 2.38459144069473 4.0123642355211 2.71088511227494 1.75411886704166 1.47526151183665 2.07941387879722 1.76768635637476 1.7296828041235 1.86628049891891 1.41019300006 1.70089728739738 1.67383697384762
G 3.34005486534484 -0.671342832553917 3.52409101003864 2.24974713253968 3.22943349600539 2.96974531866391 2.28114692893649 2.11984544881374 1.40699168609393 2.32239664181906 3.07429023338091 1.21505187415115 4.54362951347531 2.78485234072527 3.12738463941293 3.34348143595961 2.56486896961514 3.73947513022243 4.91601394366116 1.51792901857901 2.76039227199803 0.440480452619591 2.17538810985521 1.11865655343427 1.21993931843358 1.58794784621334 2.20010464816996 2.56756286235738 1.99804468735510 1.85633330224215 2.36364270341033 2.53291158511102
G 2.82678093569821 -0.812684964887653 2.46504393568664 . 2.28539366355147 2.47064915976123 1.97635338669822 1.95871151791650 0.732498846676975 1.19083297362156 2.42316173400989 1.12366213825475 4.20703197052638 2.23859394202209 2.41004794718873 3.03090446595705 2.19214101121496 2.77482309915947 4.52323622435404 0.734878297702968 2.00905660350321 1.06667019530983 2.04564119177963 1.04322064258621 0.801768284716922 1.24468085315463 1.65921863345911 . 1.83084389104281 1.22309399361361 1.90226099223238 2.38506679313661
G 3.46420723498222 -1.04250288985208 2.79064227177127 2.8667928360331 2.99551835067412 2.07147117502825 2.28226697085323 2.29878458018559 0.420204678296976 1.42269875640115 1.91315213048847 0.828309080684354 3.36909551991744 1.94939615159614 2.47671779578982 2.06408481595068 2.26322338590159 2.93042156102004 4.62736804047518 0.724152218052348 1.3228553952498 4.80258287992229 3.1245785519005 1.22375716674943 1.40603301578163 1.61181059539435 1.82533596641258 2.25156449826267 1.50395574493254 0.817540497862442 1.08716457963692 2.53537805860345
Q 3.85507505885017 -0.0751292642642445 2.90461051505416 3.56891250420189 2.147046800878 1.87288797182826 2.28948455444285 1.93359510060291 1.02373858752132 1.80703766099836 2.83148561710107 1.21614344075264 4.05941258328683 2.19633495952139 2.40216242825414 2.02886680485743 2.19172392087088 2.77510193646956 4.60225739793682 1.12479913393009 2.29410150894168 4.05674956021738 3.46878799043815 0.924852574471018 1.20283917200756 1.45040982403095 2.08129669481864 2.54446419267424 1.16331501507326 1.25091354507997 1.45590111081172 2.36193784750653
Q 3.30670914064025 0.0920689326333703 2.47861514974243 3.13007372549186 2.64504550749399 2.51961503421991 2.09758212678407 2.13547434308907 0.998150126833145 1.83546890706869 3.09319363790082 1.15460691445826 3.61966130725439 2.00831120887773 2.63173695809956 2.65805101636186 2.30353604069992 3.50108395258407 4.31216785268033 0.998113859812335 2.31802704990148 3.87054212722504 3.08478244578744 1.33888797658565 1.14593916052514 1.62355440425929 1.72561468095610 2.51891830651301 1.06879909240448 1.09283697694758 1.53285624012852 2.32404301619839
